DateTime,Open,High,Low,Close,Volume
2011-01-12 16:36:00,112.500,112.500,112.500,112.500,1
2011-01-13 10:52:00,112.900,112.900,112.900,112.900,10
2011-01-13 11:55:00,113.000,113.000,113.000,113.000,1
2011-01-13 11:58:00,113.300,113.300,113.300,113.300,2
2011-01-13 13:18:00,113.000,113.000,113.000,113.000,1
2011-01-18 10:54:00,114.200,114.200,114.200,114.200,3
2011-01-18 10:55:00,114.225,114.225,114.225,114.225,5
2011-01-18 12:52:00,113.000,113.000,113.000,113.000,5
2011-01-18 12:53:00,112.075,112.075,112.000,112.000,11
2011-01-24 11:55:00,114.300,114.300,114.300,114.300,1
2011-01-25 18:12:00,113.000,113.000,113.000,113.000,2
2011-01-26 14:10:00,113.750,113.750,113.750,113.750,5
2011-01-26 14:50:00,113.500,113.500,113.500,113.500,10
2011-01-27 09:26:00,113.000,113.000,113.000,113.000,20
2011-01-27 11:24:00,113.500,113.500,113.500,113.500,1
2011-01-27 12:50:00,113.500,113.500,113.500,113.500,1
2011-01-27 13:00:00,113.500,113.500,113.500,113.500,8
2011-01-27 13:21:00,113.900,113.900,113.900,113.900,1
2011-01-28 10:42:00,114.000,114.000,114.000,114.000,1
2011-01-28 11:02:00,114.000,114.000,114.000,114.000,1
2011-01-31 10:20:00,114.000,114.000,114.000,114.000,1
2011-01-31 10:58:00,114.000,114.000,114.000,114.000,1
2011-01-31 11:34:00,114.000,114.000,114.000,114.000,1
2011-02-02 09:06:00,115.000,115.000,115.000,115.000,3
2011-02-02 11:38:00,115.000,115.000,115.000,115.000,1
2011-02-02 11:55:00,115.000,115.000,115.000,115.000,1
2011-02-07 10:59:00,114.900,114.900,114.900,114.900,1
2011-02-09 09:04:00,113.950,113.950,113.950,113.950,2
2011-02-11 11:17:00,114.500,114.500,114.500,114.500,1
2011-02-11 13:08:00,114.800,114.800,114.800,114.800,2
2011-02-11 13:09:00,114.900,114.900,114.900,114.900,2
2011-02-11 13:14:00,114.900,114.900,114.900,114.900,5
2011-02-11 13:17:00,114.900,114.900,114.900,114.900,1
2011-02-11 13:26:00,114.900,114.900,114.900,114.900,1
2011-02-11 13:40:00,115.000,115.000,115.000,115.000,1
2011-02-11 13:42:00,115.000,115.000,115.000,115.000,1
2011-02-14 10:31:00,115.125,115.125,115.125,115.125,4
2011-02-14 11:03:00,115.075,115.075,115.075,115.075,1
2011-02-15 13:56:00,115.075,115.075,115.050,115.050,2
2011-02-15 14:31:00,114.900,114.900,114.900,114.900,1
2011-02-15 14:59:00,114.900,114.900,114.900,114.900,2
2011-02-16 09:33:00,114.900,114.900,114.900,114.900,4
2011-02-16 14:10:00,116.950,116.950,116.950,116.950,1
2011-02-17 11:10:00,116.500,116.500,116.500,116.500,1
2011-02-17 12:42:00,116.400,116.400,116.400,116.400,1
2011-02-17 12:43:00,116.400,116.400,116.400,116.400,3
2011-02-17 12:58:00,116.250,116.250,116.250,116.250,5
2011-02-17 13:05:00,116.150,116.150,116.150,116.150,5
2011-02-17 13:08:00,116.150,116.150,116.150,116.150,2
2011-02-17 13:10:00,116.100,116.100,116.100,116.100,3
2011-02-17 16:01:00,116.950,116.950,116.950,116.950,1
2011-02-22 10:28:00,116.250,116.250,116.250,116.250,1
2011-02-23 13:09:00,116.000,116.000,116.000,116.000,1
2011-02-23 13:12:00,116.000,116.000,116.000,116.000,2
2011-02-23 13:42:00,116.000,116.000,116.000,116.000,5
2011-02-23 13:50:00,116.000,116.000,116.000,116.000,1
2011-02-23 14:02:00,116.500,116.500,116.500,116.500,1
2011-02-23 14:04:00,116.500,116.500,116.500,116.500,2
2011-02-23 14:45:00,116.600,116.600,116.600,116.600,1
2011-02-23 19:06:00,116.100,116.100,116.100,116.100,1
2011-02-24 10:07:00,116.150,116.150,116.150,116.150,1
2011-02-24 12:48:00,115.825,115.825,115.825,115.825,1
2011-02-24 13:58:00,116.000,116.000,116.000,116.000,2
2011-02-28 11:08:00,117.200,117.200,117.200,117.200,2
2011-02-28 12:07:00,117.000,117.000,117.000,117.000,1
2011-02-28 12:37:00,117.000,117.000,117.000,117.000,3
