DateTime,Open,High,Low,Close,Volume
2019-05-03 11:26:00,112.600,112.600,112.600,112.600,1
2019-05-08 12:25:00,110.150,110.200,110.150,110.200,2
2019-05-09 11:26:00,109.550,109.550,109.550,109.550,1
2019-05-10 11:19:00,110.750,110.750,110.750,110.750,1
2019-05-10 12:57:00,112.100,112.100,111.600,111.600,7
2019-05-10 12:58:00,111.350,111.600,110.850,111.600,12
2019-05-10 12:59:00,111.600,112.150,111.600,112.150,5
2019-05-10 13:02:00,111.975,111.975,111.975,111.975,1
2019-05-10 13:11:00,111.550,111.550,111.550,111.550,1
2019-05-10 13:26:00,111.900,111.900,111.900,111.900,1
2019-05-10 13:27:00,111.825,111.825,111.825,111.825,1
2019-05-10 13:35:00,111.900,111.900,111.900,111.900,1
2019-05-10 13:42:00,111.850,112.000,111.850,112.000,3
2019-05-10 14:01:00,111.850,111.850,111.850,111.850,1
2019-05-13 09:31:00,111.575,111.575,111.550,111.550,2
2019-05-13 09:32:00,111.550,111.600,111.550,111.600,4
2019-05-13 09:33:00,111.600,111.600,111.500,111.525,4
2019-05-13 09:34:00,111.550,111.550,111.550,111.550,1
2019-05-13 09:35:00,111.550,111.550,111.550,111.550,2
2019-05-13 09:36:00,111.650,111.650,111.650,111.650,1
2019-05-14 14:04:00,110.325,110.325,110.325,110.325,3
2019-05-16 10:15:00,109.850,109.850,109.850,109.850,1
2019-05-16 11:14:00,110.300,110.300,110.300,110.300,1
2019-05-16 11:17:00,110.300,110.300,110.300,110.300,1
2019-05-29 11:12:00,111.000,111.000,111.000,111.000,2
2019-05-30 12:42:00,111.250,111.250,111.250,111.250,2
2019-05-30 13:18:00,110.500,110.500,110.500,110.500,1
2019-05-30 13:30:00,110.250,110.250,110.250,110.250,2
2019-05-30 13:51:00,110.000,110.000,110.000,110.000,2
2019-05-30 13:59:00,110.000,110.000,109.800,109.800,4
2019-05-31 13:55:00,110.250,110.250,110.250,110.250,2
2019-05-31 13:58:00,110.000,110.000,110.000,110.000,1
2019-05-31 13:59:00,110.000,110.000,108.700,108.700,4
2019-06-03 10:19:00,108.850,108.850,108.850,108.850,2
2019-06-03 12:17:00,108.100,108.100,108.100,108.100,2
2019-06-03 13:51:00,108.100,108.100,108.100,108.100,1
2019-06-03 13:52:00,108.100,108.100,108.100,108.100,1
2019-06-11 12:20:00,111.500,111.500,111.500,111.500,1
2019-06-11 13:04:00,111.550,111.550,111.550,111.550,1
2019-06-12 11:49:00,111.375,111.375,111.375,111.375,1
2019-06-13 11:29:00,110.150,110.150,110.150,110.150,1
