DateTime,Open,High,Low,Close,Volume
2010-03-25 11:59:00,91.650,91.650,91.650,91.650,7
2010-03-25 12:15:00,91.650,91.650,91.650,91.650,43
2010-03-29 12:37:00,92.500,92.500,92.500,92.500,1
2010-03-31 13:55:00,92.650,92.650,92.650,92.650,30
2010-04-01 11:28:00,92.650,92.650,92.650,92.650,50
2010-04-05 10:15:00,92.950,92.950,92.950,92.950,1
2010-04-05 11:31:00,93.100,93.100,93.100,93.100,2
2010-04-05 13:01:00,93.100,93.100,93.100,93.100,2
2010-04-05 14:11:00,93.100,93.100,93.100,93.100,46
2010-04-07 11:28:00,93.300,93.300,93.300,93.300,5
2010-04-14 13:00:00,94.000,94.000,94.000,94.000,50
2010-04-15 11:59:00,94.700,94.700,94.700,94.700,10
2010-04-15 13:31:00,95.000,95.000,95.000,95.000,20
2010-04-15 13:38:00,95.000,95.000,95.000,95.000,20
2010-04-16 10:22:00,95.450,95.450,95.450,95.450,7
2010-04-20 11:01:00,95.000,95.000,95.000,95.000,1
2010-04-21 09:50:00,94.550,94.550,94.550,94.550,1
2010-04-21 10:38:00,95.450,95.500,95.450,95.500,68
2010-04-21 10:46:00,95.700,95.700,95.700,95.700,10
2010-04-21 11:08:00,96.000,96.000,96.000,96.000,50
2010-04-26 10:13:00,96.000,96.000,96.000,96.000,2
2010-04-26 10:44:00,96.000,96.000,96.000,96.000,1
2010-04-26 14:08:00,95.550,95.550,95.550,95.550,6
2010-04-26 14:09:00,95.550,95.550,95.550,95.550,7
2010-04-27 12:16:00,95.550,95.550,95.550,95.550,2
2010-04-28 13:04:00,94.500,94.500,94.500,94.500,1
2010-04-30 11:47:00,95.175,95.175,95.175,95.175,3
2010-04-30 11:48:00,95.200,95.200,95.200,95.200,3
2010-04-30 12:40:00,95.075,95.125,95.075,95.125,6
2010-04-30 12:44:00,95.100,95.100,95.100,95.100,1
2010-04-30 12:46:00,95.100,95.100,95.100,95.100,3
2010-04-30 12:47:00,95.100,95.100,95.100,95.100,4
2010-04-30 12:55:00,95.100,95.100,95.100,95.100,3
2010-05-03 12:34:00,95.000,95.000,95.000,95.000,1
2010-05-03 12:38:00,95.400,95.400,95.400,95.400,10
2010-05-03 12:44:00,95.500,95.500,95.500,95.500,2
2010-05-03 12:45:00,95.500,95.500,95.500,95.500,9
2010-05-03 12:53:00,95.600,95.600,95.600,95.600,10
2010-05-05 10:25:00,95.150,95.150,95.150,95.150,1
2010-05-06 10:55:00,94.500,94.500,94.500,94.500,1
2010-05-06 14:04:00,95.250,95.300,95.250,95.300,5
2010-05-06 14:05:00,95.300,95.325,95.300,95.325,3
2010-05-07 10:38:00,94.500,94.500,94.500,94.500,50
2010-05-11 11:30:00,95.000,95.000,95.000,95.000,3
2010-05-11 11:38:00,95.000,95.000,95.000,95.000,4
2010-05-11 11:45:00,95.000,95.000,95.000,95.000,7
2010-05-11 13:04:00,95.000,95.000,95.000,95.000,42
2010-05-11 13:31:00,95.125,95.125,95.125,95.125,2
2010-05-11 13:59:00,95.100,95.100,95.100,95.100,2
2010-05-12 13:52:00,95.250,95.250,95.250,95.250,1
2010-05-17 11:57:00,93.150,93.175,93.150,93.175,2
2010-05-17 11:58:00,93.200,93.200,93.200,93.200,2
2010-05-17 11:59:00,93.175,93.175,93.100,93.100,5
2010-05-17 12:00:00,93.100,93.100,93.100,93.100,1
2010-05-17 12:12:00,93.075,93.075,93.075,93.075,2
2010-05-17 12:48:00,93.250,93.250,93.250,93.250,2
2010-05-17 13:00:00,93.275,93.300,93.225,93.225,6
2010-05-17 13:11:00,93.200,93.200,93.200,93.200,3
2010-05-17 13:12:00,93.200,93.200,93.200,93.200,1
2010-05-17 14:04:00,93.350,93.425,93.350,93.425,6
2010-05-17 16:40:00,93.375,93.375,93.375,93.375,1
2010-05-18 09:36:00,93.825,93.825,93.825,93.825,1
2010-05-18 10:51:00,93.675,93.675,93.675,93.675,1
2010-05-18 11:03:00,93.600,93.600,93.600,93.600,1
2010-05-18 11:04:00,93.600,93.600,93.600,93.600,1
2010-05-18 14:28:00,93.500,93.500,93.500,93.500,1
2010-05-18 21:42:00,92.900,92.925,92.900,92.925,2
2010-05-19 12:30:00,92.700,92.700,92.700,92.700,2
2010-05-19 13:56:00,93.650,93.650,93.650,93.650,1
2010-05-20 11:45:00,92.275,92.300,92.275,92.300,6
2010-05-20 11:46:00,92.300,92.300,92.300,92.300,8
2010-05-20 11:50:00,92.300,92.300,92.300,92.300,5
2010-05-20 11:55:00,92.350,92.350,92.350,92.350,5
2010-05-21 13:57:00,92.225,92.325,92.225,92.325,5
2010-05-21 14:03:00,92.325,92.325,92.325,92.325,2
2010-05-25 14:01:00,90.750,90.750,90.750,90.750,5
2010-05-26 09:08:00,90.700,90.700,90.700,90.700,5
2010-05-26 09:13:00,90.700,90.700,90.700,90.700,10
2010-05-26 09:15:00,90.700,90.700,90.700,90.700,24
2010-05-26 09:16:00,90.700,90.700,90.700,90.700,21
2010-05-27 11:09:00,91.775,91.775,91.775,91.775,2
2010-05-27 13:55:00,92.125,92.125,92.125,92.125,1
2010-05-28 13:31:00,91.650,91.650,91.650,91.650,1
2010-06-01 09:11:00,91.300,91.300,91.300,91.300,1
2010-06-01 12:58:00,91.525,91.525,91.525,91.525,2
2010-06-01 13:12:00,91.525,91.525,91.525,91.525,6
2010-06-01 13:13:00,91.525,91.525,91.525,91.525,2
2010-06-01 15:17:00,91.925,91.925,91.925,91.925,1
2010-06-01 15:40:00,91.925,91.925,91.925,91.925,1
2010-06-01 15:48:00,91.925,91.925,91.925,91.925,6
2010-06-01 15:50:00,91.925,91.925,91.925,91.925,1
2010-06-02 12:54:00,92.500,92.500,92.500,92.500,10
2010-06-03 11:07:00,92.550,92.550,92.550,92.550,2
2010-06-03 13:26:00,92.100,92.100,92.100,92.100,2
2010-06-03 13:32:00,92.100,92.100,92.100,92.100,12
2010-06-03 13:33:00,92.100,92.100,92.100,92.100,10
2010-06-03 14:39:00,92.150,92.150,92.150,92.150,1
2010-06-04 10:36:00,92.000,92.000,92.000,92.000,1
2010-06-07 10:45:00,91.050,91.050,91.025,91.025,12
2010-06-07 10:47:00,91.000,91.000,91.000,91.000,1
2010-06-07 11:04:00,91.000,91.000,91.000,91.000,2
2010-06-07 14:09:00,91.450,91.450,91.450,91.450,1
2010-06-09 09:08:00,91.750,91.750,91.750,91.750,2
2010-06-09 09:09:00,91.750,91.750,91.750,91.750,1
2010-06-09 09:10:00,91.750,91.750,91.750,91.750,1
2010-06-09 10:02:00,91.750,91.750,91.750,91.750,6
2010-06-09 10:04:00,91.850,91.850,91.850,91.850,7
2010-06-09 10:05:00,91.850,91.950,91.850,91.950,5
2010-06-10 13:20:00,91.750,91.750,91.750,91.750,2
2010-06-11 10:04:00,91.750,91.800,91.750,91.800,2
2010-06-11 10:35:00,91.850,91.850,91.850,91.850,2
2010-06-14 12:47:00,91.950,92.000,91.950,92.000,8
2010-06-14 13:38:00,92.050,92.175,92.050,92.175,14
2010-06-15 12:07:00,92.000,92.000,92.000,92.000,1
2010-06-15 12:32:00,92.150,92.150,92.150,92.150,1
2010-06-15 12:52:00,92.325,92.325,92.325,92.325,1
2010-06-15 12:56:00,92.325,92.325,92.325,92.325,1
2010-06-15 12:59:00,92.325,92.325,92.325,92.325,1
2010-06-15 13:25:00,92.500,92.500,92.500,92.500,2
2010-06-16 13:28:00,92.600,92.600,92.600,92.600,1
2010-06-16 13:52:00,92.600,92.600,92.600,92.600,1
2010-06-16 13:53:00,92.500,92.500,92.500,92.500,1
2010-06-17 10:48:00,92.275,92.275,92.275,92.275,1
2010-06-17 11:46:00,92.400,92.400,92.400,92.400,1
2010-06-17 15:42:00,92.000,92.000,92.000,92.000,2
2010-06-17 18:10:00,92.000,92.000,92.000,92.000,2
2010-06-17 18:11:00,92.000,92.000,92.000,92.000,1
2010-06-18 14:00:00,92.150,92.150,92.150,92.150,1
2010-06-18 14:22:00,92.150,92.150,92.150,92.150,3
2010-06-21 10:37:00,92.900,92.900,92.900,92.900,1
2010-06-21 18:28:00,92.900,93.000,92.900,93.000,13
2010-06-22 10:00:00,92.850,92.850,92.850,92.850,5
2010-06-22 12:55:00,93.000,93.000,93.000,93.000,5
2010-06-22 13:55:00,92.850,92.850,92.850,92.850,1
2010-06-22 14:01:00,92.875,92.875,92.875,92.875,1
2010-06-22 14:06:00,92.850,92.850,92.850,92.850,4
2010-06-24 12:27:00,92.850,92.850,92.850,92.850,8
2010-06-24 12:29:00,92.850,92.850,92.850,92.850,2
2010-06-24 13:05:00,92.900,92.900,92.900,92.900,3
2010-06-24 15:07:00,92.450,92.450,92.450,92.450,1
2010-06-25 11:58:00,92.950,92.950,92.950,92.950,5
2010-06-25 13:13:00,92.950,92.950,92.950,92.950,5
